analysis	dataset	patient_n	threshold_or_k	statistic	estimate	CI_or_range	null_or_comparator	multiplicity	status	interpretation_boundary
E. Component decomposition	CARE	53	25 cells; k=7	Median composition energy share (NONADDITIVE)	0.0917841676274787	—	At least 2 explicit compartments pass cell threshold	—	DESCRIPTIVE	NONADDITIVE; 1 − share is not an intrinsic fraction; cross-term retained in total energy.
E. Reconstruction validity	CARE	53	25 cells; k=7	Median reconstruction cosine	0.910123618574	—	—	—	DESCRIPTIVE	Reconstruction fidelity, not causal attribution.
E. Ecology-axis contribution	CARE	46	50 cells; k=7	MES median absolute composition contribution share	0.29465014418253505	—	—	—	DESCRIPTIVE	Absolute axis contribution ratio; distinct from nonadditive energy share.
E. Ecology-axis contribution	CARE	46	50 cells; k=7	HYPOXIA median absolute composition contribution share	0.2913825830448964	—	—	—	DESCRIPTIVE	Absolute axis contribution ratio; distinct from nonadditive energy share.
E. Ecology-axis contribution	CARE	46	50 cells; k=7	MATRIX median absolute composition contribution share	0.2971265684693815	—	—	—	DESCRIPTIVE	Absolute axis contribution ratio; distinct from nonadditive energy share.
E. Ecology-axis contribution	CARE	46	50 cells; k=7	MYELOID median absolute composition contribution share	0.30986255246342465	—	—	—	DESCRIPTIVE	Absolute axis contribution ratio; distinct from nonadditive energy share.
F. Residual-mode stability	CARE	56	7	Modes passing all gates	0/10	—	Prespecified eigenvalue, bootstrap-loading and leave-one-out gates	—	NO_STABLE_RESIDUAL_MODE_DETECTED_UNDER_PRESPECIFIED_GATES	No stable mode detected under these gates; not proof that no common recurrence mode exists.
G. Cross-cohort geometry	CARE	56	7	Centroid translation	3.3291075710085303	2.613–5.637	—	—	DESCRIPTIVE	Frozen patient-bootstrap interval; descriptive geometry.
G. Cross-cohort geometry	GLASS	111	5	Centroid translation	3.23311657656955	2.464–4.905	—	—	DESCRIPTIVE	Frozen patient-bootstrap interval; descriptive geometry.
G. Cross-cohort geometry	GSE174554	20	2	Centroid translation	4.7842435346095336	4.083–8.552	—	—	DESCRIPTIVE	Frozen patient-bootstrap interval; descriptive geometry.
G. Cross-cohort geometry	CARE / GLASS / GSE174554	56 / 111 / 20	7 / 5 / 2	Range of cohort maximum principal angles (degrees)	32.332–85.101	—	—	—	DESCRIPTIVE	Range across three cohort-level maximum angles; not a confidence interval.
G. Cross-cohort geometry	CARE / GLASS / GSE174554	56 / 111 / 20	7 / 5 / 2	Range of recurrent/primary top-k trace ratios	0.531–1.349	—	—	—	DESCRIPTIVE	Range across cohorts; descriptive, not new inference.
H. Genomic anchors	CARE	45	7	Smallest family-adjusted q	0.10197960407918416	—	mutation_jaccard_distance; residual_magnitude	BH within reference k × endpoint	SUPPORTING	Exploratory genomic anchor; q > 0.05 does not establish non-genetic causation.
